director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
Nick Hamm,Marcia Gay Harden,Charlie Rowe,Josephine Langford,Drama,gigi & nate,Marcia Gay Harden Charlie Rowe Josephine Langford Nick Hamm Drama
Matt Eskandari,Kevin Dillon,Bruce Willis,unknown,Action Crime Thriller,wire room,Kevin Dillon Bruce Willis unknown Matt Eskandari Action Crime Thriller
Castille Landon,Hero Fiennes-Tiffin,Josephine Langford,Louise Lombard,Romance Drama,after ever happy,Hero Fiennes-Tiffin Josephine Langford Louise Lombard Castille Landon Romance Drama
Robert Zemeckis,Tom Hanks,Benjamin Evan Ainsworth,Joseph Gordon-Levitt,Fantasy Adventure Family,pinocchio,Tom Hanks Benjamin Evan Ainsworth Joseph Gordon-Levitt Robert Zemeckis Fantasy Adventure Family
Zach Cregger,Georgina Campbell,Bill Skarsgård,Justin Long,Horror Mystery Thriller,barbarian,Georgina Campbell Bill Skarsgård Justin Long Zach Cregger Horror Mystery Thriller
Millicent Shelton,Queen Latifah,Ludacris,Beau Bridges,Thriller Drama Crime,end of the road,Queen Latifah Ludacris Beau Bridges Millicent Shelton Thriller Drama Crime
Kevin Peeples,Kirk Cameron,Alex Kendrick,Raphael Ruggero,Drama,lifemark,Kirk Cameron Alex Kendrick Raphael Ruggero Kevin Peeples Drama
"Karim Amer, Omar Mullick",unknown,unknown,unknown,Documentary,flight/risk,"unknown unknown unknown Karim Amer, Omar Mullick Documentary"
Kevin Smith,Brian O'Halloran,Jeff Anderson,Trevor Fehrman,Comedy,clerks iii,Brian O'Halloran Jeff Anderson Trevor Fehrman Kevin Smith Comedy
Gina Prince-Bythewood,Viola Davis,Thuso Mbedu,Lashana Lynch,Action Drama History,the woman king,Viola Davis Thuso Mbedu Lashana Lynch Gina Prince-Bythewood Action Drama History
Tom George,Saoirse Ronan,Sam Rockwell,Adrien Brody,Mystery Comedy Crime,see how they run,Saoirse Ronan Sam Rockwell Adrien Brody Tom George Mystery Comedy Crime
